location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-21,pm25 (µg/m³),5.2,12.429167,26.4
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-21,pm25 (µg/m³),4.3,10.054167,21.2
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-21,o3 (ppm),0.028,0.038130436,0.048
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-21,pm25 (µg/m³),4.5,10.25,21.6
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-21,pm25 (µg/m³),5.1,11.15,22.7
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-21,o3 (ppm),0.028,0.038916666,0.048
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-21,pm25 (µg/m³),4.5,10.5,23.4
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-21,pm25 (µg/m³),0.7,7.6125,20.2
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-21,pm25 (µg/m³),1.4,7.5958333,21.4
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-21,pm25 (µg/m³),1.3,7.320833,18.4
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-21,o3 (ppm),0.027,0.036666665,0.046
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-21,o3 (ppm),0.023,0.038833335,0.053
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-21,pm25 (µg/m³),5.4,11.5625,23.9
