location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-04,pm25 (µg/m³),7.9,15.8125,56.9
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-04,pm25 (µg/m³),5.1,11.629167,46.8
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-04,o3 (ppm),0.023,0.03147826,0.041
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-04,pm25 (µg/m³),6.4,14.2875,68.3
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-04,pm25 (µg/m³),6.7,14.3875,39.6
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-04,o3 (ppm),0.025,0.031958334,0.041
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-04,pm25 (µg/m³),5.2,11.516666,32.1
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-04,pm25 (µg/m³),-0.5,7.3875,31.6
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-04,pm25 (µg/m³),-0.4,10.270833,47.6
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-04,pm25 (µg/m³),-0.2,7.9333334,32.2
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-04,o3 (ppm),0.02,0.029625,0.039
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-04,o3 (ppm),0.022,0.033,0.045
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-04,pm25 (µg/m³),6.5,13.0625,22.8
