location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-09,pm25 (µg/m³),4.7,8.9625,13.4
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-09,pm25 (µg/m³),4.2,7.475,10.9
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-09,o3 (ppm),0.016,0.03925,0.07
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-09,pm25 (µg/m³),4.0,6.425,9.1
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-09,pm25 (µg/m³),5.2,8.475,12.8
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-09,o3 (ppm),0.014,0.037125,0.067
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-09,pm25 (µg/m³),4.5,6.483333,9.1
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-09,pm25 (µg/m³),-0.3,4.352174,10.5
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-09,pm25 (µg/m³),-1.2,6.2208333,13.9
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-09,pm25 (µg/m³),0.6,4.225,12.0
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-09,o3 (ppm),0.016,0.03729167,0.073
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-09,pm25 (µg/m³),-2.8,24.1,69.2
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-09,o3 (ppm),0.009,0.037041668,0.066
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-09,pm25 (µg/m³),4.8,8.554167,11.9
