location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-02,pm25 (µg/m³),5.4,8.554167,12.6
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-02,pm25 (µg/m³),4.4,6.775,9.6
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-02,o3 (ppm),0.012,0.029416667,0.062
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-02,pm25 (µg/m³),4.4,6.704762,10.5
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-02,pm25 (µg/m³),5.8,8.941667,12.7
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-02,o3 (ppm),0.01,0.03,0.058
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-02,pm25 (µg/m³),4.9,7.75,13.2
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-02,pm25 (µg/m³),-0.1,6.775,14.7
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-02,pm25 (µg/m³),-2.9,5.225,16.2
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-02,pm25 (µg/m³),-0.5,7.0125,15.4
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-02,o3 (ppm),0.009,0.029541668,0.067
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-02,o3 (ppm),0.013,0.030304348,0.06
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-02,pm25 (µg/m³),4.5,7.326087,10.1
