location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-22,pm25 (µg/m³),4.7,6.2125,9.9
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-22,pm25 (µg/m³),4.1,5.616667,7.9
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-22,o3 (ppm),0.016,0.030826086,0.047
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-22,pm25 (µg/m³),3.2,4.758333,7.6
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-22,pm25 (µg/m³),3.7,5.3375,8.3
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-22,o3 (ppm),0.018,0.031458333,0.047
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-22,pm25 (µg/m³),3.5,5.079167,7.7
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-22,pm25 (µg/m³),0.5,4.108333,8.3
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-22,pm25 (µg/m³),0.4,3.075,6.5
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-22,pm25 (µg/m³),0.2,3.15,5.8
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-22,o3 (ppm),0.021,0.030791666,0.049
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-22,o3 (ppm),0.017,0.030826086,0.041
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-22,pm25 (µg/m³),3.6,5.3913045,9.5
