location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-13,pm25 (µg/m³),2.8,4.070833,5.3
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-13,pm25 (µg/m³),2.3,3.6083333,5.3
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-13,o3 (ppm),0.024,0.031142857,0.041
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-13,pm25 (µg/m³),3.0,3.9875,6.1
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-13,pm25 (µg/m³),3.1,4.0125,5.6
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-13,o3 (ppm),0.025,0.031416666,0.043
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-13,pm25 (µg/m³),2.6,3.9541667,8.1
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-13,pm25 (µg/m³),-0.4,1.9083333,4.8
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-13,pm25 (µg/m³),-1.3,1.1625,4.0
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-13,pm25 (µg/m³),-1.2,1.525,4.5
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-13,o3 (ppm),0.027,0.031875,0.043
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-13,pm25 (µg/m³),-4.2,0.15,3.6
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-13,o3 (ppm),0.026,0.031954546,0.038
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-13,pm25 (µg/m³),2.6,3.7416666,4.8
