location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-25,pm25 (µg/m³),8.1,12.954166,19.8
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-25,pm25 (µg/m³),6.7,10.020833,14.9
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-25,o3 (ppm),0.022,0.04,0.073
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-25,pm25 (µg/m³),6.5,11.991667,19.4
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-25,pm25 (µg/m³),5.9,12.375,18.2
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-25,o3 (ppm),0.018,0.037708335,0.072
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-25,pm25 (µg/m³),6.7,10.3,14.4
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-25,pm25 (µg/m³),1.6,10.433333,20.8
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-25,pm25 (µg/m³),-1.0,12.879167,23.4
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-25,pm25 (µg/m³),4.9,9.995833,19.9
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-25,o3 (ppm),0.021,0.041541666,0.076
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-25,pm25 (µg/m³),-4.5,4.7833333,10.5
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-25,o3 (ppm),0.023,0.043125,0.089
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-25,pm25 (µg/m³),6.8,12.066667,19.5
