location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-18,pm25 (µg/m³),2.5,3.3833334,4.8
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-18,pm25 (µg/m³),2.2,3.0173912,4.4
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-18,o3 (ppm),0.024,0.035772726,0.05
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-18,pm25 (µg/m³),1.7,2.6363637,3.5
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-18,pm25 (µg/m³),2.2,3.0,3.9
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-18,o3 (ppm),0.025,0.036166668,0.05
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-18,pm25 (µg/m³),1.8,2.6666667,3.6
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-18,pm25 (µg/m³),-1.7,0.23333333,3.0
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-18,pm25 (µg/m³),-3.0,0.6,5.0
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-18,pm25 (µg/m³),-1.3,0.29166666,2.9
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-18,o3 (ppm),0.023,0.033458333,0.048
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-18,pm25 (µg/m³),-2.4,-0.42222223,1.3
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-18,o3 (ppm),0.023,0.037695654,0.056
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-18,pm25 (µg/m³),2.1,2.9869566,4.0
