location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-23,pm25 (µg/m³),4.1,5.85,8.7
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-23,pm25 (µg/m³),3.3,4.6833334,6.1
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-23,o3 (ppm),0.004,0.028782608,0.043
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-23,pm25 (µg/m³),3.5,5.373913,6.9
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-23,pm25 (µg/m³),3.9,6.1625,8.5
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-23,o3 (ppm),0.005,0.030083334,0.048
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-23,pm25 (µg/m³),3.8,5.7625,7.2
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-23,pm25 (µg/m³),2.0,4.3375,8.6
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-23,pm25 (µg/m³),0.0,3.1541667,8.7
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-23,pm25 (µg/m³),1.3,3.4791667,6.9
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-23,o3 (ppm),0.004,0.028363636,0.046
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-23,o3 (ppm),0.0,0.03104762,0.04
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-23,pm25 (µg/m³),3.7,5.0304346,6.8
