location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-11,pm25 (µg/m³),5.8,8.154166,11.4
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-11,pm25 (µg/m³),5.2,6.5916667,8.5
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-11,o3 (ppm),0.021,0.037,0.061
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-11,pm25 (µg/m³),7.8,9.95,14.7
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-11,pm25 (µg/m³),7.0,9.158334,13.6
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-11,o3 (ppm),0.026,0.043545455,0.064
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-11,pm25 (µg/m³),5.9,8.417392,12.7
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-11,pm25 (µg/m³),3.1,7.170833,14.3
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-11,pm25 (µg/m³),1.6,4.8333335,9.1
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-11,pm25 (µg/m³),2.5,5.2166667,11.3
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-11,o3 (ppm),0.031,0.045,0.073
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-11,pm25 (µg/m³),-4.0,2.2666667,5.7
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-11,o3 (ppm),0.034,0.042416666,0.056
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-11,pm25 (µg/m³),5.9,7.7375,12.0
