location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-08,pm25 (µg/m³),4.3,9.979167,14.2
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-08,pm25 (µg/m³),3.7,7.5,9.9
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-08,o3 (ppm),0.003,0.03347826,0.061
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-08,pm25 (µg/m³),3.5,7.343478,9.7
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-08,pm25 (µg/m³),4.4,9.05,11.8
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-08,o3 (ppm),0.001,0.032,0.058
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-08,pm25 (µg/m³),3.5,7.6541667,12.0
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-08,pm25 (µg/m³),0.9,5.4875,10.8
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-08,pm25 (µg/m³),-0.2,7.5695653,20.3
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-08,pm25 (µg/m³),0.5,5.1916666,11.0
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-08,o3 (ppm),0.005,0.031625,0.062
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-08,pm25 (µg/m³),0.6,7.714286,25.0
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-08,o3 (ppm),0.003,0.039952382,0.079
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-08,pm25 (µg/m³),5.5,9.959091,13.8
