location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-14,pm25 (µg/m³),2.9,4.733333,5.9
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-14,pm25 (µg/m³),2.9,4.295833,7.2
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-14,o3 (ppm),0.012,0.024652174,0.039
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-14,pm25 (µg/m³),2.7,5.2375,7.7
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-14,pm25 (µg/m³),2.8,5.6,10.4
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-14,o3 (ppm),0.017,0.03004762,0.047
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-14,pm25 (µg/m³),2.7,4.65,6.1
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-14,pm25 (µg/m³),-1.4,3.3833334,8.8
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-14,pm25 (µg/m³),-0.5,2.175,4.8
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-14,pm25 (µg/m³),-0.7,2.4375,5.5
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-14,o3 (ppm),0.007,0.02675,0.043
496096,Port Richmond,RICHMOND,2780575,40.63306,-74.13715,2025-07-14,pm25 (µg/m³),-0.8,0.92,4.0
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-14,o3 (ppm),0.018,0.02973913,0.039
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-14,pm25 (µg/m³),2.8,4.526087,5.3
